mu,sigma,final_mass,mean_mass,mass_std,mean_activity,classification,lyapunov,lyapunov_std,lyapunov_class,correlation_type,correlation_length,correlation_exponent,entropy,spatial_entropy,mutual_info,susceptibility
0.16499999999999998,0.022142857142857145,97.58081725536765,97.52617104559518,0.11514894872292998,0.00598444907652414,stable,-0.0029364099075837725,0.0006884404646431269,critical,exponential,3.048491655423316,0.3280310766870507,0.055644038693044476,0.13343308398051967,-8.322338315776719e-06,
0.16499999999999998,0.01785714285714286,80.0,80.0,0.0,0.0,stable,-1.934301708016067,0.05364243077767278,ordered,exponential,2.9132135699257784,0.3432635390427203,0.04451776852792859,0.15305298755812702,-8.322338315776719e-06,
0.16499999999999998,0.02,84.0,84.0,0.0,0.0,stable,-2.0,0.0,ordered,exponential,2.9094022288417363,0.34371321712986747,0.04638186823681683,0.14068264314887818,-8.322338315776719e-06,
0.16499999999999998,0.02428571428571429,4153.702297488474,4141.534664770983,8.220249622577278,6.150308488641065,stable,0.04163702847805711,0.001456989312724221,chaotic,exponential,1.7403752282920968,0.5745887345117765,1.0480123726408073,3.8720857832527362,0.02690272621575618,
0.16499999999999998,0.02642857142857143,4261.04430649973,4262.465788834195,6.153295533938762,3.6506022880560516,stable,0.023305199287991327,0.0008605113497827141,chaotic,exponential,1.9685593723296797,0.5079856945419716,1.0462128561350124,3.8594245397338156,0.02322423049921385,
0.16499999999999998,0.028571428571428574,4305.649051225224,4298.815861491261,2.314199018613366,2.786203339245882,stable,0.024852268226319012,0.0008701613714528893,chaotic,exponential,2.0014788529354917,0.49963055993988575,1.025254055021391,3.858440296354706,0.037480263726065166,
0.16499999999999998,0.03071428571428572,4382.283752382629,4404.787871974895,13.798215817136688,3.2565022842345717,stable,0.022001449626784922,0.001523984788418945,chaotic,exponential,2.042032605767494,0.4897081452938662,1.0492947916896174,3.850788669548542,0.02117428350584305,
0.17714285714285713,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.013571428571428571,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.015714285714285715,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.032857142857142856,4413.361751124538,4411.890161795529,4.455574243890332,2.307617193312781,stable,0.019150862707545145,0.001607033113060482,chaotic,exponential,2.005352734177526,0.4986653883662713,1.0038162151081167,3.855176343146829,0.03888477895094167,
0.17714285714285713,0.01785714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.17714285714285713,0.02,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.16499999999999998,0.035,4483.505410579039,4497.719572927915,5.1530377209088005,4.233160595551945,stable,0.021418487957235197,0.0012118626321205926,chaotic,exponential,2.1322675465396332,0.46898429872126396,1.0598111885501582,3.936886119822385,0.0413188879542572,
0.17714285714285713,0.02428571428571429,103.64731406382148,103.89933213171572,0.7292623529793709,0.04291146854995331,stable,0.005267632501740002,0.0022256757673836764,critical,exponential,3.319816152519172,0.30122149964273515,0.0616607754142887,0.14124558398051973,-8.322338315776719e-06,
0.17714285714285713,0.022142857142857145,88.0,88.0,0.0,0.0,stable,-1.0018011378474585,0.47151954261763723,ordered,exponential,3.1518550347949224,0.3172734751314683,0.048229102763415965,0.14645641773179546,-8.322338315776719e-06,
0.17714285714285713,0.02642857142857143,4452.442337821714,4439.070239013637,8.995389338567788,5.630111626291551,stable,0.0358729908597413,0.0018447782558412024,chaotic,exponential,1.935982550840034,0.516533581134858,1.0871537037365766,3.898784247705783,0.03345713499982805,
0.17714285714285713,0.028571428571428574,4520.904298870788,4521.221108406425,2.3449541284703184,4.270647225648508,stable,0.03115899708210662,0.002672813830708176,chaotic,exponential,2.01808959811791,0.49551813801161737,1.0776884440367127,3.807220273688547,0.025344494482889335,
0.18928571428571428,0.005,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.18928571428571428,0.0071428571428571435,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.18928571428571428,0.009285714285714286,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
0.18928571428571428,0.01142857142857143,0.0,0.0,0.0,0.0,dead,,,,,,,,,,
